Stattion,Lat,Long,Plong,,
Albertson,40.77,-73.64,73.64,-73.64,
Baldwin,40.66,-73.61,73.607444,,
Bellerose,40.72,-73.72,73.7166,,
Bellmore,40.67,-73.53,73.528833,,
Bethpage,40.74,-73.48,73.483359,,
Carle Place,40.75,-73.60,73.603705,,
Cedarhurst,40.62,-73.73,73.726121,,
Centre Avenue,40.65,-73.66,73.663915,,
Country Life Press,40.72,-73.63,73.629405,,
East Rockaway,40.64,-73.66,73.657067,,
East Williston,40.76,-73.64,73.639426,,
Farmingdale,40.74,-73.44,73.441713,,
Floral Park,40.72,-73.71,73.706398,,
Freeport,40.66,-73.58,73.582601,,
Garden City,40.72,-73.64,73.64007,,
Gibson,40.65,-73.70,73.701694,,
Glen Cove,40.87,-73.62,73.616976,,
Glen Head,40.83,-73.63,73.626128,,
Glen Street,40.86,-73.62,73.621461,,
Great Neck,40.79,-73.73,73.725986,,
Greenvale,40.82,-73.63,73.626916,,
Hempstead,40.71,-73.63,73.625307,,
Hempstead Gardens,40.69,-73.65,73.646111,,
Hewlett,40.64,-73.71,73.705151,,
Hicksville,40.77,-73.53,73.528686,,
Inwood,40.61,-73.74,73.744311,,
Island Park,40.60,-73.66,73.655388,,
Lakeview,40.69,-73.65,73.652222,,
Lawrence,40.62,-73.74,73.73605,,
Locust Valley,40.87,-73.60,73.598678,,
Long Beach,40.59,-73.66,73.664854,,
Lynbrook,40.66,-73.68,73.6758,,
Malverne,40.68,-73.67,73.668611,,
Manhasset,40.80,-73.70,73.699996,,
Massapequa,40.68,-73.47,73.469052,,
Massapequa Park,40.68,-73.45,73.45474,,
Merillon Avenue,40.74,-73.66,73.662523,,
Merrick,40.66,-73.55,73.550709,,
Mineola,40.74,-73.64,73.641025,,
Nassau Boulevard,40.72,-73.66,73.662751,,
New Hyde Park,40.73,-73.68,73.680569,,
Oceanside,40.63,-73.65,73.654613,,
Oyster Bay,40.87,-73.53,73.531603,,
Plandome,40.81,-73.70,73.695216,,
Port Washington,40.83,-73.69,73.68733,,
Rockville Centre,40.66,-73.65,73.6466,,
Roslyn,40.79,-73.64,73.643267,,
Sea Cliff,40.85,-73.63,73.625408,,
Seaford,40.68,-73.49,73.486454,,
Stewart Manor,40.72,-73.68,73.68114,,
Syosset,40.82,-73.50,73.500492,,
Valley Stream,40.66,-73.70,73.704679,,
Wantagh,40.67,-73.51,73.509098,,
Westbury,40.75,-73.59,73.586273,,
West Hempstead,40.70,-73.64,73.641667,,
Westwood,40.67,-73.68,73.681417,,
Woodmere,40.63,-73.71,73.71374,,